query,positive,negative
necesito algo fuerte para el dolor,TRAMADOL RETARD NORMON 100 mg COMPRIMIDOS DE LIBERACION PROLONGADA EFG,CLORXIL 5 MG/ML SOLUCION CUTANEA
necesito algo fuerte para el dolor,"PAZITAL 37,5 mg/325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA",VARDENAFILO CINFA 10 MG COMPRIMIDOS BUCODISPERSABLES EFG
necesito algo fuerte para el dolor,"PAXIFLAS 37,5 MG/325 MG COMPRIMIDOS BUCODISPERSABLES EFG","BILINA 0,5 mg/ml SUSPENSIÓN PARA PULVERIZACIÓN NASAL"
necesito algo fuerte para el dolor,OXYCONTIN 10 mg COMPRIMIDOS DE LIBERACION PROLONGADA,IMBRUVICA 140 MG CAPSULAS DURAS
necesito algo fuerte para el dolor,"TRAMADOL/PARACETAMOL NORMON 37,5 mg/ 325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG",PRAVASTATINA NORMON 10 mg COMPRIMIDOS EFG
pastilla anticonceptiva,DESOGESTREL STADA 75 MICROGRAMOS COMPRIMIDOS EFG,"DEXKETOPROFENO STADA 12,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG"
pastilla anticonceptiva,"SUAVURET 0,15 mg/0,02 mg COMPRIMIDOS",ULTRACAIN CON EPINEFRINA 40 MG/ML + 10 MICROGRAMOS/ML SOLUCION INYECTABLE
pastilla anticonceptiva,"MICROGYNON 0,15 mg / 0,03 mg COMPRIMIDOS RECUBIERTOS","OCTREOTIDA GP-PHARM 1 mg /5 ml (0,2 mg/ml) SOLUCION INYECTABLE Y PARA PERFUSION EFG"
pastilla anticonceptiva,"YASMIN 3 mg / 0,03 mg COMPRIMIDOS RECUBIERTOS CON PELICULA","HIRUDOID FORTE 4,45 mg/g POMADA"
pastilla anticonceptiva,"ANAOMI DIARIO 0,1 MG/0,02 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG",OMEPRAZOL CINFA 20 mg CAPSULAS DURAS GASTRORRESISTENTES EFG
método anticonceptivo,"ANAOMI DIARIO 0,1 MG/0,02 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG",ALGESAL 10 MG/G + 100 MG/G ESPUMA CUTANEA
método anticonceptivo,TRIAGYNON COMPRIMIDOS RECUBIERTOS,ZOLAFREN 10 mg COMPRIMIDOS EFG
método anticonceptivo,"DROSPIRENONA/ETINILESTRADIOL CINFALAB 3MG / 0,02MG COMPRIMIDOS RECUBIERTOS CON PELICULA (24+4) EFG",ITRACONAZOL NORMON 100 mg CAPSULAS DURAS EFG
método anticonceptivo,DESOGESTREL STADA 75 MICROGRAMOS COMPRIMIDOS EFG,CLIMODIEN 2/2 mg COMPRIMIDOS RECUBIERTOS
método anticonceptivo,"HARMONET 0,075 MG/0,02 MG COMPRIMIDOS RECUBIERTOS",IRBESARTAN/HIDROCLOROTIAZIDA VISO FARMACÉUTICA 300 MG/25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
control de natalidad,"DOLNA 0,120 MG/0,015 MG CADA 24 HORAS SISTEMA DE LIBERACION VAGINAL EFG","KYLEENA 19,5 MG SISTEMA DE LIBERACION INTRAUTERINO"
control de natalidad,"MICROGYNON 0,15 mg / 0,03 mg COMPRIMIDOS RECUBIERTOS",TITANOREIN LIDOCAINA CREMA RECTAL
control de natalidad,DESOGESTREL STADAFARMA 75 MICROGRAMOS COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,"REACTINE LEVOCABASTINA 0,5mg/ml COLIRIO EN SUSPENSION"
control de natalidad,"MELIANE DIARIO 0,075 mg / 0,02 mg COMPRIMIDOS RECUBIERTOS",ZINNAT 250 mg/5 ml GRANULADO PARA SUSPENSION ORAL
control de natalidad,"ANAOMI DIARIO 0,1 MG/0,02 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG",IBUFEN INFANTIL 20 MG/ML SUSPENSION ORAL
evitar embarazo,GRACIAL COMPRIMIDOS,STIVARGA 40 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
evitar embarazo,"YASMIN DIARIO 3 mg / 0,03 mg COMPRIMIDOS RECUBIERTOS CON PELICULA",ZONISAMIDA SANDOZ 25 MG CAPSULAS DURAS EFG
evitar embarazo,"LEVESIALLE DIARIO 0,10 MG/0,02 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG","CENTILUX 0,25 mg/ml COLIRIO EN SOLUCION"
evitar embarazo,"LEVONORGESTREL/ETINILESTRADIOL STADA 0,1 MG/0,02 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG",LORVIQUA 100 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA
evitar embarazo,"OVOPLEX 0,15 MG/0,030 MG COMPRIMIDOS RECUBIERTOS",CANDESARTAN/HIDROCLOROTIAZIDA FORTE STADA GENERICOS 32 mg/25 mg COMPRIMIDOS EFG
tengo la tensión alta,RAMIPRIL NORMON 10 mg COMPRIMIDOS EFG,QUETIAPINA SANDOZ FARMACEUTICA 50 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG
tengo la tensión alta,"ENALAPRIL/HIDROCLOROTIAZIDA VIATRIS 20/12,5 MG COMPRIMIDOS EFG",PARACETAMOL SANDOZ CARE 650 MG COMPRIMIDOS EFG
tengo la tensión alta,RAMIPRIL CINFA 10 mg COMPRIMIDOS EFG,TRIUMEQ 50 MG/600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
tengo la tensión alta,ENALAPRIL NORMON 10 MG COMPRIMIDOS EFG,VOLTAREN 1 mg/ml COLIRIO EN SOLUCION
tengo la tensión alta,LERCANIDIPINO TECNIGEN 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,BOSENTAN NORMON 125 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
hipertensión,LERCANIDIPINO TECNIGEN 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,CLORXIL 10 mg/ml SOLUCION PARA PULVERIZACION CUTANEA
hipertensión,"RAMIPRIL SANDOZ 2,5 mg COMPRIMIDOS EFG",SITAGLIPTINA CINFAMED 50 MG COMPRIMIDO RECUBIERTO CON PELICULA EFG
hipertensión,LERZAM 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,"LUBRILAX 7,5 mg/ml GOTAS ORALES EN SOLUCION"
hipertensión,"RAMIPRIL NORMON 2,5 mg COMPRIMIDOS EFG",NICOTINELL MINT 1 mg COMPRIMIDOS PARA CHUPAR
hipertensión,RAMIPRIL/HIDROCLOROTIAZIDA TECNIGEN 5/25 mgCOMPRIMIDOS EFG,DIAZEPAM CINFA 5 MG COMPRIMIDOS EFG
presión elevada,RAMIPRIL/HIDROCLOROTIAZIDA TECNIGEN 5/25 mgCOMPRIMIDOS EFG,CANDESARTAN/HIDROCLOROTIAZIDA CINFAMED 32 MG/25 MG COMPRIMIDOS EFG
presión elevada,"ENALAPRIL/HIDROCLOROTIAZIDA VIATRIS 20/12,5 MG COMPRIMIDOS EFG",ZOLMITRIPTAN FLAS SANDOZ 5 mg COMPRIMIDOS BUCODISPERSABLES EFG
presión elevada,RAMIPRIL NORMON 10 mg COMPRIMIDOS EFG,NICORETTE ICE MINT 2 mg CHICLES MEDICAMENTOSOS
presión elevada,ZANIPRESS 10 mg/10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,"BOSENTAN NORMON 62,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG"
presión elevada,ENALAPRIL SANDOZ 5 mg COMPRIMIDOS EFG,ARIPIPRAZOL TARBIS 10 MG COMPRIMIDOS EFG
bajar la tensión,LERCANIDIPINO RECORDATI 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,NICOTINELL COOL MINT 2 mg CHICLE MEDICAMENTOSO
bajar la tensión,LERCAPRESS 20 mg/10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,"ETINILESTRADIOL/DROSPIRENONA DIARIO STADA 0,02 mg/3 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG"
bajar la tensión,"ENALAPRIL/HIDROCLOROTIAZIDA VIATRIS 20/12,5 MG COMPRIMIDOS EFG",GLYCILAX ADULTOS SUPOSITORIOS
bajar la tensión,ENALAPRIL NORMON 10 MG COMPRIMIDOS EFG,"VIPDOMET 12,5 MG/850 MG COMPRIMIDOS RECUBIERTOS CON PELICULA"
bajar la tensión,ZANIPRESS 10 mg/10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,BOSUTINIB STADA 100 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
tengo colesterol alto,NUSTENDI 180 mg/10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,SOLSINT 50 MICROGRAMOS SOLUCION ORAL EN ENVASE UNIDOSIS
tengo colesterol alto,EZETIMIBA/ATORVASTATINA STADAFARMA 10 MG/20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,VOTUBIA 2 MG COMPRIMIDOS DISPERSABLES
tengo colesterol alto,INEGY 10 mg/20 mg COMPRIMIDOS,ECTREN 40 mg COMPRIMIDOS RECUBIERTOS CON PELÍCULA
tengo colesterol alto,ROSUVASTATINA/EZETIMIBA NORMON 20 MG/10 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG,CASPOFUNGINA LORIEN 50 MG POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION EFG
tengo colesterol alto,LIPOCOMB 20 MG/10 MG CAPSULAS DURAS,"TRANKIMAZIN 0,25 mg COMPRIMIDOS"
reducir colesterol,ATORVASTATINA NORMON 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,"ACUOLENS 3 mg/ml + 5,5 mg/ml COLIRIO EN SOLUCION EN ENVASE UNIDOSIS"
reducir colesterol,VAXAR 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,EZETIMIBA/ATORVASTATINA STADAFARMA 10 MG/40 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
reducir colesterol,EZETIMIBA KRKA 10 MG COMPRIMIDOS EFG,OLMESARTAN/AMLODIPINO CINFA 40 MG/5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
reducir colesterol,ROSUVASTATINA/EZETIMIBA NORMON 20 MG/10 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG,MICOFENOLATO DE MOFETILO CINFA 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
reducir colesterol,ROSUVASTATINA VISO FARMACEUTICA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ZOLAFREN FLAS 20 mg COMPRIMIDOS BUCODISPERSABLES EFG
medicamento para colesterol,EZETIMIBA/SIMVASTATINA STADA 10 MG/40 MG COMPRIMIDOS EFG,TITANOREIN LIDOCAINA CREMA RECTAL
medicamento para colesterol,ATORVASTATINA STADA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,BISOPROLOL CINFA 5 MG COMPRIMIDOS EFG
medicamento para colesterol,LIPOCOMB 20 MG/10 MG CAPSULAS DURAS,ALKERAN 2 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
medicamento para colesterol,ATORDUO 10 MG/10 MG CAPSULAS DURAS,BUDESONIDA ALDO UNION 200 microgramos/pulsación SUSPENSIÓN PARA INHALACIÓN EN ENVASE A PRESIÓN
medicamento para colesterol,EZETIMIBA/ATORVASTATINA SANDOZ 10 MG/20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,LERCANIDIPINO TECNIGEN 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
controlar lípidos,ROSUVASTATINA/EZETIMIBA NORMON 20 MG/10 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG,NOVOEIGHT 3000 UI POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE
controlar lípidos,ATOZET 10 MG/20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,VISCOFRESH 10 mg/ml COLIRIO EN SOLUCION EN ENVASE UNIDOSIS
controlar lípidos,ATORVASTATINA CINFA 30 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,FELIBEN 35 microgramos/HORA PARCHES TRANSDERMICOS.
controlar lípidos,EZETIMIBA/SIMVASTATINA STADA 10 MG/40 MG COMPRIMIDOS EFG,PRALUENT 150 MG SOLUCION INYECTABLE EN PLUMA PRECARGADA
controlar lípidos,ROSUVASTATINA SANDOZ 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ACICLOVIR SANDOZ CARE 50 MG/G CREMA
tengo epilepsia,LABILENO 25 mg COMPRIMIDOS MASTICABLES/DISPERSABLES,"BISOPROLOL NORMON 2,5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG"
tengo epilepsia,LEVETIRACETAM NORMON 1.500 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA,EZETIMIBA/ATORVASTATINA STADAFARMA 10 MG/20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
tengo epilepsia,LABILENO 100 mg COMPRIMIDOS MASTICABLES/DISPERSABLES,BESITRAN 20 mg/ml CONCENTRADO PARA SOLUCION ORAL
tengo epilepsia,LEVETIRACETAM CINFA 1000 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ACETATO DE CIPROTERONA/ETINILESTRADIOL SANDOZ 2 mg/ 0.035 mg COMPRIMIDOS RECUBIERTOS EFG
tengo epilepsia,LABILENO 50 mg COMPRIMIDOS MASTICABLES/DISPERSABLES,OPTOVITE B12 1.000 MICROGRAMOS SOLUCIÓN INYECTABLE
tratamiento para convulsiones,LABILENO 25 mg COMPRIMIDOS MASTICABLES/DISPERSABLES,CILOSTAZOL STADA 100 MG COMPRIMIDOS EFG
tratamiento para convulsiones,LEVETIRACETAM NORMON 1.500 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA,"ZANTAC 300 mg, COMPRIMIDOS RECUBIERTOS CON PELICULA"
tratamiento para convulsiones,LAMICTAL 100 mg COMPRIMIDOS MASTICABLES/DISPERSABLES,"VESOMNI 6 MG/0,4 MG COMPRIMIDOS DE LIBERACION MODIFICADA"
tratamiento para convulsiones,LABILENO 50 mg COMPRIMIDOS MASTICABLES/DISPERSABLES,JANUVIA 50 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
tratamiento para convulsiones,LAMICTAL 50 mg COMPRIMIDOS MASTICABLES/DISPERSABLES,TELMISARTAN/HIDROCLOROTIAZIDA NORMON 80 MG/25 MG COMPRIMIDOS EFG
controlar crisis,LAMOTRIGINA STADA 50 mg COMPRIMIDOS DISPERSABLES EFG,GADOVIST 1 mmol/ml SOLUCION INYECTABLE EN JERINGA PRECARGADA/ CARTUCHO PRECARGADO
controlar crisis,LEVETIRACETAM CINFA 1000 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ALDACTONE 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
controlar crisis,LEVETIRACETAM NORMON 500 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,HERCEPTIN 150 mg POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION
controlar crisis,LAMICTAL 100 mg COMPRIMIDOS MASTICABLES/DISPERSABLES,DOXAZOSINA NEO STADA 8 mg COMPRIMIDOS DE LIBERACION PROLONGADA EFG
controlar crisis,LABILENO 100 mg COMPRIMIDOS MASTICABLES/DISPERSABLES,VORICONAZOL NORMON 200 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
ataques epilépticos,LAMOTRIGINA NORMON 50 mg COMPRIMIDOS DISPERSABLES/MASTICABLES EFG,OXICODONA/NALOXONA CINFA 20 MG/10 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG
ataques epilépticos,LABILENO 100 mg COMPRIMIDOS MASTICABLES/DISPERSABLES,SERACTIL 400 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
ataques epilépticos,LAMOTRIGINA STADA 25 mg COMPRIMIDOS DISPERSABLES EFG,ERLEADA 60 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
ataques epilépticos,LEVETIRACETAM NORMON 1000 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,INVEGA 3 mg COMPRIMIDOS DE LIBERACION PROLONGADA
ataques epilépticos,LEVETIRACETAM SANDOZ 250 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,LABILENO 25 mg COMPRIMIDOS MASTICABLES/DISPERSABLES
tengo una infección,ZITROMAX 500 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,"VAQTA 25 UNIDADES/0,5ml SUSPENSION INYECTABLE EN JERINGA PRECARGADA"
tengo una infección,AUGMENTINE 2.000 mg/200 mg POLVO PARA SOLUCION PARA PERFUSION,VILDAGLIPTINA TECNIGEN 50 MG CAPSULAS DURAS EFG
tengo una infección,DALACIN 20 mg/g CREMA VAGINAL,FENTANILO MATRIX SANDOZ 75 microgramos/HORA PARCHES TRANSDERMICOS EFG
tengo una infección,AMOXICILINA NORMON 500 MG COMPRIMIDOS EFG,SIMVASTATINA CINFA 40 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
tengo una infección,AMOXICILINA/ACIDO CLAVULANICO SANDOZ 500 mg/50 mg POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG,FLUIMUCIL 40mg/ml SOLUCION ORAL
necesito un antibiótico,AMOXICILINA/ACIDO CLAVULANICO SANDOZ 500 mg/50 mg POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG,METOTREXATO WYETH 25 MG/ML SOLUCIÓN INYECTABLE
necesito un antibiótico,CLINDAMICINA NORMON 300 mg/2 ml SOLUCION INYECTABLE EFG,PREVYMIS 480 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
necesito un antibiótico,AMOXICILINA NORMON 250 MG POLVO PARA SUSPENSIÓN ORAL EN SOBRE EFG,ALERCINA 10 mg COMPRIMIDOS
necesito un antibiótico,AMOXICILINA NORMON 500 MG COMPRIMIDOS EFG,"RILAST 160 MICROGRAMOS/4,5 MICROGRAMOS/INHALACION SUSPENSION PARA INHALACION EN ENVASE A PRESION"
necesito un antibiótico,AMOXICILINA/ACIDO CLAVULANICO TECNIGEN 875 MG/125 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,NOREBOX 4 mg COMPRIMIDOS
me duele por infección,CLINDAMICINA NORMON 300 mg/2 ml SOLUCION INYECTABLE EFG,CINFATOS EXPECTORANTE 10 mg + 100 mg solución oral en sobres
me duele por infección,AMOXICILINA NORMON 500 MG COMPRIMIDOS EFG,FIRMAGON 80 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE
me duele por infección,DALACIN 20 mg/g CREMA VAGINAL,LACIPIL 4 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
me duele por infección,AZITROMICINA VIATRIS 200 MG/5 ML POLVO PARA SUSPENSION ORAL EFG,IBIS 10 MG COMPRIMIDOS BUCODISPERSABLES
me duele por infección,ZITROMAX 500 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,AMLODIPINO/VALSARTAN/HIDROCLOROTIAZIDA NORMON 10 MG/160 MG/25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
inflamación con fiebre,AMOXICILINA NORMON 1000 MG POLVO PARA SUSPENSIÓN ORAL EN SOBRES EFG,GOBEMICINA 500 mg INYECTABLE
inflamación con fiebre,"AMOXICILINA/ACIDO CLAVULANICO VIATRIS 250 MG/5ML + 62,5 MG/5 ML POLVO PARA SUSPENSION ORAL EFG",GABAPENTINA CINFA 800 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
inflamación con fiebre,CLINDAMICINA NORMON 300 mg/2 ml SOLUCION INYECTABLE EFG,LOSARTAN CINFA 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
inflamación con fiebre,ZITROMAX 500 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,DULOXETINA CINFAMED 90 MG CAPSULAS DURAS GASTRORRESISTENTES
inflamación con fiebre,AMOXICILINA/ACIDO CLAVULANICO NORMON 2000 mg/200 mg POLVO PARA SOLUCION PARA PERFUSION EFG,BISOPROLOL NORMON 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
me duele la cabeza,ESPIDIFEN 600 MG,CASPOFUNGINA
me duele la cabeza,GELOCATIL 650 MG,ZEJULA 100 MG
me duele la cabeza,ACTRON COMPUESTO,TRUVADA
me duele la cabeza,ASPIRINA C,TRUVADA
me duele la cabeza,DESENFRIOL C,PRITORPLUS 40 MG
tengo cefalea,ESPIDIFEN 600 MG,PLUSVENT 25 MCG
tengo cefalea,GELOCATIL 650 MG,XARELTO
tengo cefalea,ACTRON COMPUESTO,CASPOFUNGINA
tengo cefalea,ASPIRINA C,ZALTRAP
tengo cefalea,DESENFRIOL C,TRUVADA
dolor punzante en la cabeza,ESPIDIFEN 600 MG,CASPOFUNGINA
dolor punzante en la cabeza,GELOCATIL 650 MG,PLUSVENT 25 MCG
dolor punzante en la cabeza,ACTRON COMPUESTO,TRUVADA
dolor punzante en la cabeza,ASPIRINA C,ZALTRAP
dolor punzante en la cabeza,DESENFRIOL C,PROPECIA
me palpita la cabeza,ESPIDIFEN 600 MG,PROPECIA
me palpita la cabeza,GELOCATIL 650 MG,SUTENT
me palpita la cabeza,ACTRON COMPUESTO,PLUSVENT 25 MCG
me palpita la cabeza,ASPIRINA C,PLUSVENT 25 MCG
me palpita la cabeza,DESENFRIOL C,ZEJULA 100 MG
dolor de cabeza fuerte,ESPIDIFEN 600 MG,PRITORPLUS 40 MG
dolor de cabeza fuerte,GELOCATIL 650 MG,TRUVADA
dolor de cabeza fuerte,ACTRON COMPUESTO,ZEJULA 100 MG
dolor de cabeza fuerte,ASPIRINA C,ZEJULA 100 MG
dolor de cabeza fuerte,DESENFRIOL C,PROPECIA
me duele el estómago,ALMAX FORTE,CASPOFUNGINA
me duele el estómago,OMEPRAZOL 20 MG,PROPECIA
me duele el estómago,BUSCAPINA COMPOSITUM,ZALTRAP
me duele el estómago,RANITIDINA,PLUSVENT 25 MCG
me duele el estómago,ESPAVEN,XARELTO
dolor abdominal,ALMAX FORTE,PRITORPLUS 40 MG
dolor abdominal,OMEPRAZOL 20 MG,PRITORPLUS 40 MG
dolor abdominal,BUSCAPINA COMPOSITUM,ZEJULA 100 MG
dolor abdominal,RANITIDINA,SUTENT
dolor abdominal,ESPAVEN,LEVITRA 10 MG
tengo molestias estomacales,ALMAX FORTE,SUTENT
tengo molestias estomacales,OMEPRAZOL 20 MG,ZALTRAP
tengo molestias estomacales,BUSCAPINA COMPOSITUM,LEVITRA 10 MG
tengo molestias estomacales,RANITIDINA,PLUSVENT 25 MCG
tengo molestias estomacales,ESPAVEN,XARELTO
dolor fuerte en la barriga,ALMAX FORTE,TRUVADA
dolor fuerte en la barriga,OMEPRAZOL 20 MG,ZALTRAP
dolor fuerte en la barriga,BUSCAPINA COMPOSITUM,ZALTRAP
dolor fuerte en la barriga,RANITIDINA,CASPOFUNGINA
dolor fuerte en la barriga,ESPAVEN,ZEJULA 100 MG
retortijones,ALMAX FORTE,LEVITRA 10 MG
retortijones,OMEPRAZOL 20 MG,SUTENT
retortijones,BUSCAPINA COMPOSITUM,TRUVADA
retortijones,RANITIDINA,SUTENT
retortijones,ESPAVEN,XARELTO
tengo fiebre,PARACETAMOL 1G,ZALTRAP
tengo fiebre,IBUPROFENO 600 MG,LEVITRA 10 MG
tengo fiebre,GELDOCHEK,PROPECIA
tengo fiebre,DAFALGAN,TRUVADA
tengo fiebre,TERMALGIN,SUTENT
me ha subido la temperatura,PARACETAMOL 1G,LEVITRA 10 MG
me ha subido la temperatura,IBUPROFENO 600 MG,SUTENT
me ha subido la temperatura,GELDOCHEK,CASPOFUNGINA
me ha subido la temperatura,DAFALGAN,ZALTRAP
me ha subido la temperatura,TERMALGIN,LEVITRA 10 MG
estoy febril,PARACETAMOL 1G,TRUVADA
estoy febril,IBUPROFENO 600 MG,ZEJULA 100 MG
estoy febril,GELDOCHEK,ZALTRAP
estoy febril,DAFALGAN,PLUSVENT 25 MCG
estoy febril,TERMALGIN,SUTENT
me siento muy caliente,PARACETAMOL 1G,PROPECIA
me siento muy caliente,IBUPROFENO 600 MG,SUTENT
me siento muy caliente,GELDOCHEK,ZALTRAP
me siento muy caliente,DAFALGAN,ZALTRAP
me siento muy caliente,TERMALGIN,CASPOFUNGINA
fiebre alta,PARACETAMOL 1G,ZEJULA 100 MG
fiebre alta,IBUPROFENO 600 MG,TRUVADA
fiebre alta,GELDOCHEK,TRUVADA
fiebre alta,DAFALGAN,CASPOFUNGINA
fiebre alta,TERMALGIN,LEVITRA 10 MG
me duelen los músculos,VOLTAREN EMULGEL,PROPECIA
me duelen los músculos,IBUPROFENO 400 MG,TRUVADA
me duelen los músculos,FLEXIUM GEL,XARELTO
me duelen los músculos,MYOLASTAN,PLUSVENT 25 MCG
me duelen los músculos,ENOXOLONA,CASPOFUNGINA
tengo dolor muscular,VOLTAREN EMULGEL,ZALTRAP
tengo dolor muscular,IBUPROFENO 400 MG,ZEJULA 100 MG
tengo dolor muscular,FLEXIUM GEL,PROPECIA
tengo dolor muscular,MYOLASTAN,CASPOFUNGINA
tengo dolor muscular,ENOXOLONA,ZEJULA 100 MG
me duele todo el cuerpo,VOLTAREN EMULGEL,ZALTRAP
me duele todo el cuerpo,IBUPROFENO 400 MG,XARELTO
me duele todo el cuerpo,FLEXIUM GEL,ZEJULA 100 MG
me duele todo el cuerpo,MYOLASTAN,PLUSVENT 25 MCG
me duele todo el cuerpo,ENOXOLONA,ZALTRAP
tengo agujetas,VOLTAREN EMULGEL,LEVITRA 10 MG
tengo agujetas,IBUPROFENO 400 MG,CASPOFUNGINA
tengo agujetas,FLEXIUM GEL,PROPECIA
tengo agujetas,MYOLASTAN,PLUSVENT 25 MCG
tengo agujetas,ENOXOLONA,PROPECIA
molestias musculares,VOLTAREN EMULGEL,LEVITRA 10 MG
molestias musculares,IBUPROFENO 400 MG,ZEJULA 100 MG
molestias musculares,FLEXIUM GEL,PLUSVENT 25 MCG
molestias musculares,MYOLASTAN,SUTENT
molestias musculares,ENOXOLONA,LEVITRA 10 MG
me duele la garganta,STREPSILS,PRITORPLUS 40 MG
me duele la garganta,FLUBIOGRIP,PRITORPLUS 40 MG
me duele la garganta,ANGILEPTOL,CASPOFUNGINA
me duele la garganta,JUVELAINE,ZALTRAP
me duele la garganta,IBUPROFENO 400 MG,ZEJULA 100 MG
tengo irritación en la garganta,STREPSILS,ZALTRAP
tengo irritación en la garganta,FLUBIOGRIP,PLUSVENT 25 MCG
tengo irritación en la garganta,ANGILEPTOL,PROPECIA
tengo irritación en la garganta,JUVELAINE,ZEJULA 100 MG
tengo irritación en la garganta,IBUPROFENO 400 MG,TRUVADA
garganta inflamada,STREPSILS,PLUSVENT 25 MCG
garganta inflamada,FLUBIOGRIP,PRITORPLUS 40 MG
garganta inflamada,ANGILEPTOL,PROPECIA
garganta inflamada,JUVELAINE,XARELTO
garganta inflamada,IBUPROFENO 400 MG,PRITORPLUS 40 MG
me pica la garganta,STREPSILS,SUTENT
me pica la garganta,FLUBIOGRIP,SUTENT
me pica la garganta,ANGILEPTOL,PROPECIA
me pica la garganta,JUVELAINE,ZALTRAP
me pica la garganta,IBUPROFENO 400 MG,ZALTRAP
dolor al tragar,STREPSILS,ZEJULA 100 MG
dolor al tragar,FLUBIOGRIP,CASPOFUNGINA
dolor al tragar,ANGILEPTOL,TRUVADA
dolor al tragar,JUVELAINE,ZALTRAP
dolor al tragar,IBUPROFENO 400 MG,XARELTO
tengo tos,FLUTOX,TRUVADA
tengo tos,MUCOSAN,TRUVADA
tengo tos,ROMILAR,LEVITRA 10 MG
tengo tos,BISOLVON,LEVITRA 10 MG
